,Era,Nationality,last_name,first_name,birth_date,death_date
0,Contemporary,Indian,Rahman,A. R.,1967-01-06,
1,20th Century,American,Copland,Aaron,1900-11-14,1990-12-02
2,20th Century,Austrian,Berg,Alban,1885-02-09,1935-12-24
3,20th Century,English,Lloyd Webber,Andrew,1948-03-22,
4,20th Century,"German, American",Previn,André,1929-04-06,2019-02-28
5,Post-Romantic,Austrian,Bruckner,Anton,1824-09-04,1896-10-11
6,Post-Romantic,Czech,Dvořák,Antonín,1841-09-08,1904-05-01
7,Classical,Italian,Salieri,Antonio,1750-08-18,1825-05-07
8,Baroque,Italian ,Vivaldi,Antonio,1678-03-04,1741-07-28
9,20th Century,Austrian ,Schoenberg,Arnold,1874-09-13,1951-07-13
10,20th Century,Estonian,Pärt,Arvo,1935-09-11,
11,20th Century,Argentine,Piazzolla,Astor,1921-03-11,1992-07-04
12,Romantic,Czech,Smetana,Bedřich,1824-03-02,1884-05-12
13,20th Century,English ,Britten,Benjamin,1913-11-22,1976-12-04
14,20th Century,American ,Herrmann,Bernard,1911-06-29,1975-12-24
15,21st Century,American ,Tyler,Brian,1972-05-08,
16,20th Century,American ,Bacharach,Burt,1928-05-12,
17,20th Century,Hungarian,Bartók,Béla,1881-03-25,1945-09-26
18,Romantic,French ,Saint-Saëns,Camille,1835-10-09,1921-12-16
19,Romantic,German,Von Weber,Carl Maria,1786-11-19,1826-06-05
20,20th Century,American ,Ives,Charles,1874-10-20,1954-05-19
21,Romantic,German,Schumann,Clara,1819-09-13,1896-05-20
22,20th Century,French ,Debussy,Claude,1862-08-22,1918-03-25
23,Baroque,Italian,Monteverdi,Claudio,1567-05-15,1643-11-29
24,20th Century,American ,Porter,Cole,1891-06-09,1964-10-15
25,Romantic,French,Franck,César,1822-12-10,1890-11-08
26,20th Century,American,Brubeck,Dave,1920-12-06,2012-12-05
27,20th Century,American,Diamond,David,1915-07-09,2005-06-13
28,20th Century,English,Derbyshire,Delia,1937-05-05,2001-07-03
29,20th Century,Russian,Shostakovich,Dmitri,1906-09-25,1975-08-09
30,Baroque,Italian,Scarlatti,Domenico,1685-10-26,1757-07-23
31,Post-Romantic,Norwegian,Grieg,Edvard,1843-06-15,1907-09-04
32,20th Century,English ,Elgar,Edward,1857-06-02,1934-02-23
33,20th Century,Italian,Morricone,Ennio,1928-11-10,
34,Contemporary,American,Whitacre,Eric,1970-01-02,
35,20th Century,French ,Satie,Erik,1866-05-17,1925-07-01
36,Romantic,German ,Mendelssohn,Felix,1809-02-03,1847-11-04
37,20th Century,American ,Zappa,Frank,1940-12-21,1993-12-04
38,Romantic,Hungarian,Liszt,Franz,1811-10-22,1886-07-31
39,Romantic,Austrian ,Schubert,Franz,1797-01-31,1828-11-19
40,Romantic,Polish,Chopin,Frederic,1810-03-01,1849-10-17
41,20th Century,French,Faure,Gabriel,1845-05-12,1924-11-04
42,20th Century,Romanian,Enescu,George,1881-08-19,1955-05-04
43,Baroque,British ,Handel,George Frideric,1685-02-23,1759-03-14
