composer_id,work_type_id,Title,Key,Op.,No.,Name,Completion Year
94,12,String Quartet No. 1,F major,Op. 18,1,,
94,12,String Quartet No. 2,G major,Op. 18,2,,
94,12,String Quartet No. 3,D major,Op. 18,3,,
94,12,String Quartet No. 4,C major,Op. 18,4,,
94,12,String Quartet No. 5,A major,Op. 18,5,,
94,12,String Quartet No. 6,B flat major,Op. 18,6,,
94,12,String Quartet No. 7,F major,Op. 59,1,Rasumovsky,
94,12,String Quartet No. 8,E major,Op. 59,2,Rasumovsky,
94,12,String Quartet No. 9,C major,Op. 59,3,Rasumovsky,
94,12,String Quartet No. 10,E flat major,Op. 74,,Harp,
94,12,String Quartet No. 11,F minor,Op. 95,,Serioso,
94,12,String Quartet No. 12,E flat major,Op. 127,,,
94,12,String Quartet No. 13,B flat major,Op. 130,,,
94,12,String Quartet No. 14,C sharp minor,Op. 131,,,
94,12,String Quartet No. 15,A minor,Op. 132,,,
94,12,Große Fuge,B flat major,Op. 133,,The Great Flight,
94,12,String Quartet No. 16,F major,Op. 135,,,
94,7,Septet,E flate major,Op. 20,,,1800
73,12,String Quartet No. 1,C minor,Op. 51,1,,
73,12,String Quartet No. 2,A minor,Op. 51,2,,
73,12,String Quartet No. 3,B flat major,Op. 67,,,
73,13,String Quintet No. 1,F major,Op. 88,,,
73,13,String Quintet No. 2,G major,Op. 111,,,
73,14,String Sextet No. 1,B flat major,Op. 18,,,
73,14,String Sextet No. 2,G major,Op. 36,,,
73,17,Piano Quintet,F minor,Op. 34,,,
73,21,Clarinet Quintet,B minor,Op. 115,,,
73,19,Clarinet Trio,A minor,Op. 114,,,
73,16,Piano Quartet No. 1,G minor,Op. 25,,,1859
73,16,Piano Quartet No. 2,A major,Op. 26,,,1862
73,16,Piano Quartet No. 3,C minor,Op. 60,,,1875
126,32,Flute Quartet No. 1,D major,K. 285,,,
126,32,Flute Quartet No. 2,G major,K. 285a,,,
126,32,Flute Quartet No. 3,C major,K. 171,,,
126,32,Flute Quartet No. 4,A major,K. 298,,,
126,21,Clarinet Quintet,A major,K. 581,,,
126,31,Horn Quintet,E flat major,K. 407,,,
126,33,Oboe Quartet,F major,K. 370,,,
126,16,Piano Quartet No. 1,G minor,K. 478,,,
126,16,Piano Quartet No. 2,E flat major,K. 493,,,
126,34,String Duo No. 1,G major,K. 423,,,
126,34,String Duo No. 2,B flat major,K. 424,,,
126,10,Divertimento,B flat major,K. 186 / 159b,,,1773
126,10,Divertimento,E flat major,K. 166 / 159d,,,1773
19,7,Septet,E flat major,Op. 65,,,1880
41,15,Piano Trio,G minor,Op. 8,,,
109,15,Piano Trio,A minor,Op. 50,,,
7,24,Violin Sonata,F major,Op. 57 / B. 106,,,
7,24,Violin Sonatina,G major,Op. 100 / B. 183,,,
7,14,String Sextet,A major,Op. 48 / B. 80,,,
7,13,String Quintet No. 1,A minor,Op. 1 / B. 7,,,
